timestamp,threat_name,threat_type,severity,risk_score,src_ip,dst_ip,device_name,file_name,file_hash,file_size,file_type
2026-03-15 04:12:10,SQL Injection - UNION Based,web-attack,high,8,91.219.236.88,172.16.10.5,PA-5260-CORE,,,,
2026-03-15 04:12:45,SQL Injection - Blind Boolean,web-attack,high,8,91.219.236.88,172.16.10.5,PA-5260-CORE,,,,
2026-03-15 04:13:22,SQL Injection - Time Based,web-attack,high,7,91.219.236.88,172.16.10.6,PA-5260-CORE,,,,
2026-03-15 02:15:33,SSH Brute Force Attack,brute-force,high,8,45.33.32.156,172.16.10.5,PA-5260-CORE,,,,
2026-03-15 02:16:01,RDP Brute Force Attack,brute-force,high,8,45.33.32.156,172.16.10.5,PA-5260-CORE,,,,
2026-03-15 03:22:10,EternalBlue SMB Exploit (MS17-010),exploit,high,8,185.220.101.34,10.10.10.50,PA-5260-CORE,,,,
2026-03-15 03:22:12,EternalBlue SMB Exploit (MS17-010),exploit,high,8,185.220.101.34,10.10.10.51,PA-5260-CORE,,,,
2026-03-15 11:10:33,EternalBlue SMB Lateral Movement,lateral-movement,high,8,10.20.0.10,10.30.0.10,PA-5260-CORE,,,,
2026-03-15 11:15:44,SMB Relay Attack NTLM Capture,credential-theft,high,8,10.20.0.10,10.30.0.11,PA-5260-CORE,,,,
2026-03-16 01:30:22,SSH Brute Force - Distributed,brute-force,high,7,77.247.181.163,172.16.10.5,PA-5260-CORE,,,,
2026-03-16 02:45:40,RDP Brute Force - Credential Stuffing,brute-force,high,8,118.25.6.39,172.16.10.5,PA-5260-CORE,,,,
2026-03-16 10:30:55,WinRM Remote Code Execution,lateral-movement,high,7,10.10.10.51,10.30.0.10,PA-5260-CORE,,,,
2026-03-16 10:35:10,Pass-the-Hash Attack via SMB,credential-theft,high,8,10.20.0.11,10.30.0.10,PA-5260-CORE,,,,
2026-03-17 00:45:22,SSH Dictionary Attack,brute-force,high,7,45.33.32.156,172.16.10.5,PA-5260-CORE,,,,
2026-03-17 01:30:40,RDP BlueKeep Exploit Attempt (CVE-2019-0708),exploit,high,8,77.247.181.163,10.10.10.50,PA-5260-CORE,,,,
2026-03-17 01:30:41,RDP BlueKeep Exploit Attempt (CVE-2019-0708),exploit,high,8,77.247.181.163,10.10.10.51,PA-5260-CORE,,,,
2026-03-17 10:25:10,SMB Named Pipe Lateral Movement,lateral-movement,high,7,10.10.10.51,10.30.0.11,PA-5260-CORE,,,,
2026-03-17 10:30:22,Suspicious RDP Session from App Server,lateral-movement,high,7,10.20.0.10,10.30.0.10,PA-5260-CORE,,,,
2026-03-17 10:35:33,SMB Lateral Spread - Worm Behavior,lateral-movement,high,8,10.20.0.10,10.20.0.11,PA-5260-CORE,,,,
2026-03-15 10:40:33,Credential Harvesting via SMB,credential-theft,high,7,10.10.10.50,10.20.0.10,PA-5260-CORE,,,,
2026-03-15 10:45:44,Suspicious WinRM PowerShell Remoting,lateral-movement,high,7,10.10.10.50,10.20.0.11,PA-5260-CORE,,,,
2026-03-16 04:15:10,SSH Brute Force - Botnet Origin,brute-force,high,8,103.224.80.45,10.20.0.10,PA-5260-CORE,,,,
2026-03-16 14:10:22,Suspicious File Share Access Pattern,data-exfiltration,high,7,10.10.10.50,10.30.0.10,PA-5260-CORE,,,,
2026-03-15 07:00:10,Network Port Scan - SYN Sweep,reconnaissance,medium,6,212.71.234.10,10.10.10.50,PA-5260-CORE,,,,
2026-03-15 07:00:13,Network Port Scan - SYN Sweep,reconnaissance,medium,6,212.71.234.10,10.10.10.51,PA-5260-CORE,,,,
2026-03-15 05:30:15,HTTP Directory Traversal Attempt,web-attack,medium,5,103.224.80.45,10.20.0.10,PA-5260-CORE,,,,
2026-03-15 05:30:16,HTTPS Enumeration Scan,reconnaissance,medium,5,103.224.80.45,10.20.0.10,PA-5260-CORE,,,,
2026-03-15 06:45:33,FTP Anonymous Login Attempt,unauthorized-access,medium,4,198.235.24.60,172.16.10.5,PA-5260-CORE,,,,
2026-03-15 06:45:34,Telnet Clear-Text Protocol Detected,policy-violation,medium,4,198.235.24.60,172.16.10.5,PA-5260-CORE,,,,
2026-03-15 09:15:10,DNS Tunneling - Iodine Detection,data-exfiltration,medium,6,10.10.10.50,172.16.10.6,PA-5260-CORE,,,,
2026-03-15 12:00:55,DNS Tunneling - Suspicious TXT Queries,data-exfiltration,medium,5,10.10.10.57,172.16.10.5,PA-5260-CORE,,,,
2026-03-16 03:20:55,Database Port Scan from External,reconnaissance,medium,6,185.220.101.34,10.30.0.10,PA-5260-CORE,,,,
2026-03-16 03:20:57,Database Port Scan from External,reconnaissance,medium,6,185.220.101.34,10.30.0.11,PA-5260-CORE,,,,
2026-03-16 05:00:33,Web Application Fingerprinting,reconnaissance,medium,5,91.219.236.88,172.16.10.5,PA-5260-CORE,,,,
2026-03-16 05:00:34,SSL/TLS Certificate Mismatch,ssl-anomaly,medium,4,91.219.236.88,172.16.10.5,PA-5260-CORE,,,,
2026-03-16 08:00:05,SNMP Community String Brute Force,unauthorized-access,medium,5,10.10.10.50,172.16.10.5,PA-5260-CORE,,,,
2026-03-16 09:00:25,Unauthorized SNMP v1 Access,unauthorized-access,medium,5,10.20.0.10,172.16.10.5,PA-5260-CORE,,,,
2026-03-16 11:00:45,DNS Amplification Attempt,denial-of-service,medium,6,10.10.10.50,172.16.10.5,PA-5260-CORE,,,,
2026-03-17 02:15:55,Database Enumeration via Port Scan,reconnaissance,medium,6,118.25.6.39,10.30.0.10,PA-5260-CORE,,,,
2026-03-17 02:15:56,Database Enumeration via Port Scan,reconnaissance,medium,6,118.25.6.39,10.30.0.11,PA-5260-CORE,,,,
2026-03-17 03:00:10,HTTP Flood DDoS Attempt,denial-of-service,medium,6,185.220.101.34,172.16.10.5,PA-5260-CORE,,,,
2026-03-17 04:30:22,Suspicious MSSQL Connection Attempt,unauthorized-access,medium,5,212.71.234.10,10.20.0.10,PA-5260-CORE,,,,
2026-03-17 04:30:23,MySQL Brute Force Attempt,brute-force,medium,5,212.71.234.10,10.20.0.11,PA-5260-CORE,,,,
2026-03-15 08:20:35,SSL Certificate Expired - Internal Service,ssl-anomaly,medium,4,10.10.10.54,172.16.10.6,PA-5260-CORE,,,,
2026-03-16 10:00:35,SSL Self-Signed Certificate Detected,ssl-anomaly,medium,4,10.10.10.58,172.16.10.6,PA-5260-CORE,,,,
2026-03-17 09:00:25,DNS Query to Known Malicious Domain,dns-threat,medium,6,10.10.10.60,172.16.10.5,PA-5260-CORE,,,,
2026-03-17 11:00:45,Unusual DNS Query Volume,dns-anomaly,medium,5,10.10.10.50,172.16.10.5,PA-5260-CORE,,,,
2026-03-15 08:33:20,Non-Standard HTTP Port Usage (8080),policy-violation,low,3,10.10.10.50,93.184.216.34,PA-5260-CORE,,,,
2026-03-15 08:40:10,TLS 1.0 Deprecated Protocol Usage,policy-violation,low,2,10.10.10.52,151.101.1.69,PA-5260-CORE,,,,
2026-03-15 09:40:18,Unencrypted HTTP to Internal Resource,policy-violation,low,2,10.10.10.65,93.184.216.119,PA-5260-CORE,,,,
2026-03-15 10:25:11,HTTP Clear-Text Password Submission,policy-violation,low,3,10.10.10.68,93.184.216.34,PA-5260-CORE,,,,
2026-03-15 12:00:10,ICMP Timestamp Request,information-disclosure,low,1,212.71.234.10,10.10.10.50,PA-5260-CORE,,,,
2026-03-15 12:00:12,ICMP Address Mask Request,information-disclosure,low,1,212.71.234.10,10.10.10.51,PA-5260-CORE,,,,
2026-03-16 08:10:45,SSLv3 POODLE Vulnerable Connection,policy-violation,low,3,10.10.10.50,93.184.216.34,PA-5260-CORE,,,,
2026-03-16 09:10:55,Non-Standard DNS Port (5353),policy-violation,low,2,10.70.0.10,10.70.0.1,PA-5260-CORE,,,,
2026-03-16 12:00:50,HTTP Method TRACE Enabled,information-disclosure,low,2,10.10.10.51,93.184.216.34,PA-5260-CORE,,,,
2026-03-17 08:00:30,Weak Cipher Suite Negotiated (RC4),policy-violation,low,3,10.10.10.50,93.184.216.34,PA-5260-CORE,,,,
2026-03-17 08:15:20,TLS 1.1 Deprecated Protocol Detected,policy-violation,low,2,10.10.10.51,142.250.80.110,PA-5260-CORE,,,,
2026-03-17 09:00:45,NTP Monlist Response Detected,information-disclosure,low,1,172.16.10.5,10.10.10.50,PA-5260-CORE,,,,
2026-03-17 10:00:55,SNMP v1 Clear-Text Community String,policy-violation,low,2,10.10.10.79,93.184.220.29,PA-5260-CORE,,,,
2026-03-17 12:00:25,Non-Standard Application on Port 443,policy-violation,low,3,10.10.10.80,151.101.1.69,PA-5260-CORE,,,,
2026-03-17 13:00:40,HTTP Response Header Information Leak,information-disclosure,low,1,10.10.10.50,93.184.216.34,PA-5260-CORE,,,,
2026-03-17 15:00:15,Obsolete SSH Protocol Version,policy-violation,low,2,10.10.10.50,151.101.193.69,PA-5260-CORE,,,,
2026-03-17 03:20:10,Cobalt Strike DNS Beacon,command-and-control,critical,10,10.10.10.50,185.220.101.100,PA-5260-CORE,,,,
2026-03-17 11:50:22,Data Exfiltration via Encrypted Channel,data-exfiltration,high,8,10.10.10.51,91.219.236.200,PA-5260-CORE,,,,
2026-03-15 13:00:10,DNS Cache Poisoning Attempt,dns-threat,medium,5,10.10.10.50,172.16.10.5,PA-5260-CORE,,,,
2026-03-16 15:00:10,LDAP Injection Attempt,web-attack,medium,6,91.219.236.88,172.16.10.5,PA-5260-CORE,,,,
2026-03-17 16:00:30,Insecure FTP Clear-Text Credentials,policy-violation,low,2,10.10.10.81,93.184.216.119,PA-5260-CORE,,,,
